number,name,votes,electronic,abroad,mandate,district,party
965,Aivar Riisalu,315,136,0,#N/A,4,Eesti Keskerakond
590,Kaupo Kutsar,315,134,0,#N/A,11,Sotsiaaldemokraatlik Erakond
680,Õnneli Matt,314,175,1,#N/A,1,Eesti Konservatiivne Rahvaerakond
618,Lauri Tõnspoeg,313,177,2,#N/A,3,Elurikkuse Erakond
1126,Alari Kirt,313,181,0,#N/A,6,Isamaa Erakond
1016,Peeter Laasik,313,96,3,#N/A,9,Eesti Keskerakond
1151,Ivar Tedrema,312,118,0,#N/A,9,Isamaa Erakond
796,Meelis Malk,312,114,1,#N/A,12,Eesti Konservatiivne Rahvaerakond
247,Juhan Kangilaski,310,225,5,#N/A,2,Eesti Reformierakond
861,Annes Naan,310,163,0,#N/A,6,Erakond Eesti 200
331,Andrus Punt,309,190,0,#N/A,10,Eesti Reformierakond
232,Liis Klaar,307,170,3,#N/A,1,Eesti Reformierakond
991,Hans Kruusamägi,306,114,1,#N/A,6,Eesti Keskerakond
678,Toivo Tasa,305,122,5,#N/A,1,Eesti Konservatiivne Rahvaerakond
246,Kaupo Nõlvak,304,217,0,#N/A,2,Eesti Reformierakond
982,Rea Raus,303,115,2,#N/A,5,Eesti Keskerakond
341,Peeter Sibul,302,142,2,#N/A,11,Eesti Reformierakond
1179,Siim Suursild,301,135,1,#N/A,12,Isamaa Erakond
705,Eve Pärnaste,296,111,2,#N/A,3,Eesti Konservatiivne Rahvaerakond
309,Mati Sadam,296,163,0,#N/A,8,Eesti Reformierakond
773,Indrek Hirv,295,88,3,#N/A,10,Eesti Konservatiivne Rahvaerakond
318,Aivar Saarela,293,151,0,#N/A,9,Eesti Reformierakond
1066,Tiit Meren,292,172,2,#N/A,1,Isamaa Erakond
286,Jaanus Müür,291,191,1,#N/A,5,Eesti Reformierakond
742,Leo Bergström,291,111,3,#N/A,6,Eesti Konservatiivne Rahvaerakond
929,Kalev Kallo,289,62,0,Kompensatsioonimandaat,1,Eesti Keskerakond
347,Andres Mõis,289,165,3,#N/A,12,Eesti Reformierakond
828,Tiit Elenurm,287,198,2,#N/A,3,Erakond Eesti 200
755,Medi Meikar,287,124,3,#N/A,8,Eesti Konservatiivne Rahvaerakond
316,Ülvi Nool-Kõre,287,196,0,#N/A,9,Eesti Reformierakond
1183,Urmas Aava,284,92,0,#N/A,12,Isamaa Erakond
1075,Madis Päts,283,151,2,#N/A,2,Isamaa Erakond
745,Arvo Aller,283,127,2,#N/A,7,Eesti Konservatiivne Rahvaerakond
1014,Aare Olgo,281,87,2,#N/A,9,Eesti Keskerakond
656,Ahto Kaasik,281,141,1,#N/A,10,Elurikkuse Erakond
688,Mait Talu,279,98,0,#N/A,2,Eesti Konservatiivne Rahvaerakond
298,Sergei Gorlatš,279,82,0,#N/A,7,Eesti Reformierakond
1180,Meelis Kukk,279,132,1,#N/A,12,Isamaa Erakond
766,Aivo Lill,278,84,3,#N/A,9,Eesti Konservatiivne Rahvaerakond
888,Kadi Ploom,278,109,0,#N/A,9,Erakond Eesti 200
1182,Jaanus Põldmaa,278,131,0,#N/A,12,Isamaa Erakond
1105,Gerli Lehe,277,180,0,#N/A,4,Isamaa Erakond
1159,Eva-Liisa Luhamets,277,137,1,#N/A,10,Isamaa Erakond
1048,Hillar Talvik,277,50,0,#N/A,12,Eesti Keskerakond
1018,Andres Vään,276,73,0,#N/A,9,Eesti Keskerakond
696,Mare Liiger,275,113,3,#N/A,2,Eesti Konservatiivne Rahvaerakond
236,Lembit Kolk,274,196,1,#N/A,1,Eesti Reformierakond
931,Eha Võrk,273,80,0,#N/A,1,Eesti Keskerakond
1170,Kurmet Müürsepp,273,136,0,#N/A,11,Isamaa Erakond
1076,Kalev Vapper,271,146,1,#N/A,2,Isamaa Erakond
512,Silver Meikar,271,165,2,#N/A,3,Sotsiaaldemokraatlik Erakond
548,Anton Pratkunas,271,81,0,#N/A,7,Sotsiaaldemokraatlik Erakond
1175,Monika Rogenbaum,271,121,0,#N/A,11,Isamaa Erakond
368,Heiki Valner,270,169,3,#N/A,2,Erakond Eestimaa Rohelised
272,Tiit Vahenõmm,270,164,1,#N/A,4,Eesti Reformierakond
667,Mati Kose,270,146,2,#N/A,12,Elurikkuse Erakond
457,Inga Raitar,269,124,1,#N/A,11,Erakond Eestimaa Rohelised
302,Toomas Nõmmiste,268,144,0,#N/A,7,Eesti Reformierakond
589,Tarmo Tamm,268,88,0,#N/A,11,Sotsiaaldemokraatlik Erakond
349,Madis Koit,268,155,1,#N/A,12,Eesti Reformierakond
989,Jaan Männik,267,89,1,#N/A,6,Eesti Keskerakond
1108,Villu Karu,266,104,1,#N/A,4,Isamaa Erakond
577,Ott Maidre,263,198,2,#N/A,10,Sotsiaaldemokraatlik Erakond
276,Kadri Kurm,262,172,0,#N/A,4,Eesti Reformierakond
1067,Pille Lill,261,138,3,#N/A,1,Isamaa Erakond
906,Einar Visnapuu,260,135,0,#N/A,11,Erakond Eesti 200
1104,Kaupo Rätsepp,258,149,0,#N/A,4,Isamaa Erakond
984,Maire Käärid,258,93,0,#N/A,5,Eesti Keskerakond
1152,Rain Sangernebo,253,119,0,#N/A,9,Isamaa Erakond
1084,Heldur-Valdek Seeder,252,108,3,#N/A,2,Isamaa Erakond
720,Roland Tõnisson,252,86,2,#N/A,4,Eesti Konservatiivne Rahvaerakond
722,Meelis Rosenfeld,252,88,0,#N/A,4,Eesti Konservatiivne Rahvaerakond
533,Kairit Lindmäe,249,128,1,#N/A,5,Sotsiaaldemokraatlik Erakond
237,Kristo Enn Vaga,248,182,0,#N/A,1,Eesti Reformierakond
933,Jüri Ennet,248,75,1,#N/A,1,Eesti Keskerakond
779,Heiki Vilep,247,94,0,#N/A,10,Eesti Konservatiivne Rahvaerakond
778,Merike Lumi,246,97,4,#N/A,10,Eesti Konservatiivne Rahvaerakond
346,Meeli Pärna,246,150,0,#N/A,12,Eesti Reformierakond
467,Krister Kivi,246,108,3,#N/A,12,Erakond Eestimaa Rohelised
267,Laine Randjärv,245,139,0,#N/A,4,Eesti Reformierakond
1005,Getter Klaas,245,92,0,#N/A,8,Eesti Keskerakond
970,Oleg Tšubarov,243,61,0,#N/A,4,Eesti Keskerakond
261,Sten Laansoo,242,206,0,#N/A,3,Eesti Reformierakond
1036,Jaanus Raidal,242,59,0,#N/A,11,Eesti Keskerakond
814,Meelis Niinepuu,241,178,0,#N/A,2,Erakond Eesti 200
556,Piret Aus,241,143,3,#N/A,8,Sotsiaaldemokraatlik Erakond
777,Ain Ehari,241,64,6,#N/A,10,Eesti Konservatiivne Rahvaerakond
492,Andrei Hvostov,240,157,3,#N/A,2,Sotsiaaldemokraatlik Erakond
515,Kadri Kõusaar,240,157,1,#N/A,4,Sotsiaaldemokraatlik Erakond
438,Kai Künnis-Beres,240,138,2,#N/A,9,Erakond Eestimaa Rohelised
846,Sandra Järv,239,161,1,#N/A,4,Erakond Eesti 200
797,Kaidi Suviste,239,82,2,#N/A,12,Eesti Konservatiivne Rahvaerakond
506,Külli Urb,238,168,2,#N/A,3,Sotsiaaldemokraatlik Erakond
944,Tanel Kiik,237,107,0,#N/A,2,Eesti Keskerakond
388,Jakko Väli,236,81,0,#N/A,4,Erakond Eestimaa Rohelised
1008,Heidy Tamme,236,69,1,#N/A,8,Eesti Keskerakond
798,Siimo Lopsik,234,91,0,#N/A,12,Eesti Konservatiivne Rahvaerakond
390,Joonas Laks,232,147,2,#N/A,4,Erakond Eestimaa Rohelised
1154,Aare Anderson,232,131,0,#N/A,9,Isamaa Erakond
734,Martin Judanov,231,74,2,#N/A,5,Eesti Konservatiivne Rahvaerakond
739,Uno Trumm,229,72,1,#N/A,6,Eesti Konservatiivne Rahvaerakond
293,Riho Tell,228,111,0,#N/A,6,Eesti Reformierakond
320,Merili Ranniste,228,129,2,#N/A,9,Eesti Reformierakond
1070,Vootele Hansen,227,139,0,#N/A,1,Isamaa Erakond
509,Olga Sõtnik,227,122,2,#N/A,3,Sotsiaaldemokraatlik Erakond
380,Tõnu Trubetsky,226,107,1,#N/A,3,Erakond Eestimaa Rohelised
963,Toomas Vitsut,226,72,1,#N/A,4,Eesti Keskerakond
1064,Avo Üprus,224,106,2,#N/A,1,Isamaa Erakond
693,Hasso Uuetoa,224,91,2,#N/A,2,Eesti Konservatiivne Rahvaerakond
508,Anto Liivat,224,166,0,#N/A,3,Sotsiaaldemokraatlik Erakond
1171,Arne Tilk,224,111,0,#N/A,11,Isamaa Erakond
717,Mart Järvik,223,83,6,#N/A,4,Eesti Konservatiivne Rahvaerakond
101,Andres Herkel,222,106,3,#N/A,1,Eesti Vabaerakond
486,Roy Strider,222,155,0,#N/A,1,Sotsiaaldemokraatlik Erakond
964,Kristiina Heinmets-Aigro,222,75,0,#N/A,4,Eesti Keskerakond
207,Kaul Nurm,222,91,0,#N/A,11,Eesti Vabaerakond
813,Mart Sander,221,122,1,#N/A,2,Erakond Eesti 200
1118,Toomas Schmidt,221,108,1,#N/A,5,Isamaa Erakond
1160,Anneli Kannus,221,122,2,#N/A,10,Isamaa Erakond
567,Margus Möldri,220,100,0,#N/A,9,Sotsiaaldemokraatlik Erakond
529,Hardi Volmer,219,119,2,#N/A,4,Sotsiaaldemokraatlik Erakond
292,Leo Aadel,219,126,1,#N/A,6,Eesti Reformierakond
1106,Andres Kaarmann,218,112,1,#N/A,4,Isamaa Erakond
1191,Margus Saar,216,86,4,#N/A,1,Üksikkandidaadid
827,Ülo Pikkov,216,122,0,#N/A,3,Erakond Eesti 200
587,Rein Järvelill,216,90,0,#N/A,11,Sotsiaaldemokraatlik Erakond
1007,Raivo Matsina,215,47,0,#N/A,8,Eesti Keskerakond
576,Lemmit Kaplinski,215,129,1,#N/A,10,Sotsiaaldemokraatlik Erakond
279,Ott Kasuri,213,140,1,#N/A,4,Eesti Reformierakond
303,Priit Palmet,211,117,1,#N/A,7,Eesti Reformierakond
551,Ants Kutti,211,77,0,#N/A,7,Sotsiaaldemokraatlik Erakond
869,Jana Pavlenkova,209,94,3,#N/A,7,Erakond Eesti 200
536,Hergo Tasuja,208,106,0,#N/A,5,Sotsiaaldemokraatlik Erakond
404,Laura Kiiroja,207,129,1,#N/A,4,Erakond Eestimaa Rohelised
188,Elo Lutsepp,207,88,1,#N/A,9,Eesti Vabaerakond
570,Maano Koemets,205,114,1,#N/A,9,Sotsiaaldemokraatlik Erakond
973,Ilja Ban,204,63,0,#N/A,4,Eesti Keskerakond
792,Heldur Paulson,204,50,0,#N/A,12,Eesti Konservatiivne Rahvaerakond
495,Karl-Martin Sinijärv,203,134,2,#N/A,2,Sotsiaaldemokraatlik Erakond
113,Neeme Kuningas,202,109,0,#N/A,2,Eesti Vabaerakond
1024,Marina Riisalu,202,50,1,#N/A,10,Eesti Keskerakond
785,Gaius Gil,202,54,3,#N/A,11,Eesti Konservatiivne Rahvaerakond
718,Tõnu Urva,201,68,1,#N/A,4,Eesti Konservatiivne Rahvaerakond
543,Kairit Pihlak,201,114,1,#N/A,6,Sotsiaaldemokraatlik Erakond
947,Irina Embrich,200,56,0,#N/A,2,Eesti Keskerakond
776,Aare Tamm,200,48,4,#N/A,10,Eesti Konservatiivne Rahvaerakond
1025,Viktor Trasberg,200,60,0,#N/A,10,Eesti Keskerakond
685,Georg Kirsberg,199,74,8,#N/A,1,Eesti Konservatiivne Rahvaerakond
635,Kaupo Vipp,198,106,1,#N/A,5,Elurikkuse Erakond
571,Jarno Laur,198,115,0,#N/A,9,Sotsiaaldemokraatlik Erakond
971,Jaanus Kalev,195,55,1,#N/A,4,Eesti Keskerakond
774,Mareh Kalda,194,76,2,#N/A,10,Eesti Konservatiivne Rahvaerakond
379,Katrin Jõgisaar,193,127,4,#N/A,3,Erakond Eestimaa Rohelised
1019,Tarmo Tomson,193,47,0,#N/A,9,Eesti Keskerakond
481,Siim Tuisk,192,149,3,#N/A,1,Sotsiaaldemokraatlik Erakond
595,Mercedes Merimaa,192,91,2,#N/A,12,Sotsiaaldemokraatlik Erakond
1192,Hando Tõnumaa,191,100,0,#N/A,2,Üksikkandidaadid
760,Priit Jürjens,190,58,2,#N/A,8,Eesti Konservatiivne Rahvaerakond
217,Toomas Alatalu,190,67,1,#N/A,12,Eesti Vabaerakond
520,Tõnis Blank,187,86,1,#N/A,4,Sotsiaaldemokraatlik Erakond
726,Rudolf Jeeser,186,84,7,#N/A,4,Eesti Konservatiivne Rahvaerakond
367,Reet Härmat,183,110,1,#N/A,2,Erakond Eestimaa Rohelised
721,Alar Valge,183,88,0,#N/A,4,Eesti Konservatiivne Rahvaerakond
235,Katrin Helendi,181,121,1,#N/A,1,Eesti Reformierakond
553,Etti Kagarov,181,85,0,#N/A,7,Sotsiaaldemokraatlik Erakond
1047,Avo Keel,180,69,0,#N/A,12,Eesti Keskerakond
541,Kelly Konetski-Ramul,178,98,1,#N/A,6,Sotsiaaldemokraatlik Erakond
528,Tõnu Oja,177,98,1,#N/A,4,Sotsiaaldemokraatlik Erakond
1125,Mihkel Juhkami,177,96,0,#N/A,6,Isamaa Erakond
274,Jaan Alver,176,114,0,#N/A,4,Eesti Reformierakond
746,Kalev Prits,175,58,1,#N/A,7,Eesti Konservatiivne Rahvaerakond
273,Tiina Rühka,174,102,0,#N/A,4,Eesti Reformierakond
794,Edmond Penu,174,45,6,#N/A,12,Eesti Konservatiivne Rahvaerakond
1145,Valter Vaha,170,76,1,#N/A,8,Isamaa Erakond
723,Peeter Krall,169,82,0,#N/A,4,Eesti Konservatiivne Rahvaerakond
1172,Kalle Vister,169,76,0,#N/A,11,Isamaa Erakond
900,Kadri Haller-Kikkatalo,166,91,1,#N/A,10,Erakond Eesti 200
446,Henry Laks,165,73,0,#N/A,9,Erakond Eestimaa Rohelised
1022,Monica Rand,164,47,1,#N/A,10,Eesti Keskerakond
336,Einike Mölder,164,86,0,#N/A,11,Eesti Reformierakond
690,Urmas Simon,163,78,3,#N/A,2,Eesti Konservatiivne Rahvaerakond
854,Toomas Kasemaa,163,92,0,#N/A,5,Erakond Eesti 200
540,Eerik Lumiste,163,66,0,#N/A,6,Sotsiaaldemokraatlik Erakond
651,Peeter Lepisk,163,91,0,#N/A,9,Elurikkuse Erakond
501,Maimu Berg,162,89,1,#N/A,2,Sotsiaaldemokraatlik Erakond
802,Pirko Konsa,161,130,2,#N/A,1,Erakond Eesti 200
510,Jaak Kangilaski,160,99,1,#N/A,3,Sotsiaaldemokraatlik Erakond
1142,Jüri Ellram,160,74,0,#N/A,8,Isamaa Erakond
511,Merli Reidolf,159,122,2,#N/A,3,Sotsiaaldemokraatlik Erakond
1029,Madis Lepajõe,159,62,2,#N/A,10,Eesti Keskerakond
795,Robert Kiviselg,159,64,0,#N/A,12,Eesti Konservatiivne Rahvaerakond
916,Janno Kuldkepp,159,63,2,#N/A,12,Erakond Eesti 200
1006,Karl Õmblus,158,48,0,#N/A,8,Eesti Keskerakond
311,Tarmo Alt,157,94,0,#N/A,8,Eesti Reformierakond
208,Marika Parv,157,60,0,#N/A,11,Eesti Vabaerakond
516,Tanel Talve,156,68,1,#N/A,4,Sotsiaaldemokraatlik Erakond
559,Külvar Mand,156,74,2,#N/A,8,Sotsiaaldemokraatlik Erakond
1038,Jüri Saar,156,33,0,#N/A,11,Eesti Keskerakond
245,Helen Mahmastol,154,93,0,#N/A,2,Eesti Reformierakond
700,Kairet Remmak-Grassmann,154,70,1,#N/A,2,Eesti Konservatiivne Rahvaerakond
1092,Andres Öpik,153,97,1,#N/A,3,Isamaa Erakond
732,Ille Palusalu,153,71,1,#N/A,5,Eesti Konservatiivne Rahvaerakond
903,Jaak Laineste,153,114,0,#N/A,10,Erakond Eesti 200
806,Margot Roose,152,114,0,#N/A,1,Erakond Eesti 200
841,Jüri Lehtmets,152,105,1,#N/A,4,Erakond Eesti 200
218,Heli Künnapas,151,62,0,#N/A,12,Eesti Vabaerakond
934,Josef Kats,150,41,0,#N/A,1,Eesti Keskerakond
959,Grete Šillis,150,68,0,#N/A,3,Eesti Keskerakond
815,Toomas Uibo,149,92,1,#N/A,2,Erakond Eesti 200
387,Tiiu Roosma,149,99,0,#N/A,3,Erakond Eestimaa Rohelised
983,Aivar Aru,149,46,0,#N/A,5,Eesti Keskerakond
668,Aivar Ruukel,149,94,0,#N/A,12,Elurikkuse Erakond
839,Taavi Toom,148,98,0,#N/A,4,Erakond Eesti 200
1135,Aivo Tamm,148,80,0,#N/A,7,Isamaa Erakond
879,Kalle Kallas,148,66,0,#N/A,8,Erakond Eesti 200
682,Eda Rüütel,146,41,2,#N/A,1,Eesti Konservatiivne Rahvaerakond
652,Anneli Palo,146,87,0,#N/A,9,Elurikkuse Erakond
862,Elmu Koppelmann,145,66,0,#N/A,6,Erakond Eesti 200
1165,Kaspar Kokk,145,76,0,#N/A,10,Isamaa Erakond
801,Tiia Sihver,144,88,1,#N/A,1,Erakond Eesti 200
372,Laura Lisete Roosaar,144,89,0,#N/A,2,Erakond Eestimaa Rohelised
1146,Hermann Kalmus,144,54,0,#N/A,8,Isamaa Erakond
1153,Jaana Puur,144,65,0,#N/A,9,Isamaa Erakond
1184,Aare Arva,144,63,1,#N/A,12,Isamaa Erakond
948,Peeter Mardna,142,46,0,#N/A,2,Eesti Keskerakond
542,Margus Punane,142,58,0,#N/A,6,Sotsiaaldemokraatlik Erakond
1078,Jüri Trei,141,71,4,#N/A,2,Isamaa Erakond
535,Silvi Teesalu,141,50,2,#N/A,5,Sotsiaaldemokraatlik Erakond
1116,Georg Linkov,141,77,0,#N/A,5,Isamaa Erakond
1161,Priit Humal,141,80,1,#N/A,10,Isamaa Erakond
659,Airi Hallik-Konnula,141,82,2,#N/A,11,Elurikkuse Erakond
259,Tõnu Meijel,140,86,0,#N/A,3,Eesti Reformierakond
365,Helina Tilk,139,70,4,#N/A,2,Erakond Eestimaa Rohelised
914,Epp Petrone,139,69,1,#N/A,11,Erakond Eesti 200
1043,Krista Nõmm,139,40,0,#N/A,12,Eesti Keskerakond
1069,Peeter Võsu,138,59,0,#N/A,1,Isamaa Erakond
251,Margit Elviste,137,104,0,#N/A,2,Eesti Reformierakond
691,Raul Öpik,137,57,2,#N/A,2,Eesti Konservatiivne Rahvaerakond
1111,Leemet Vaikmaa,137,64,0,#N/A,4,Isamaa Erakond
623,Eha Metsallik,135,71,1,#N/A,4,Elurikkuse Erakond
1124,Tamara Vahtra-Aasmets,135,68,0,#N/A,6,Isamaa Erakond
1133,Artur Põld,135,44,0,#N/A,7,Isamaa Erakond
1173,Toomas Piirmann,135,58,0,#N/A,11,Isamaa Erakond
695,Viljo Tamm,132,46,2,#N/A,2,Eesti Konservatiivne Rahvaerakond
727,Mihkel Saretok,132,47,0,#N/A,4,Eesti Konservatiivne Rahvaerakond
1143,Janika Gedvil,132,79,1,#N/A,8,Isamaa Erakond
362,Kadri Sikk,131,88,2,#N/A,1,Erakond Eestimaa Rohelised
496,Krista Kampus,131,89,2,#N/A,2,Sotsiaaldemokraatlik Erakond
892,Evelin Pärl,131,80,0,#N/A,9,Erakond Eesti 200
575,Meelis Luht,131,64,0,#N/A,10,Sotsiaaldemokraatlik Erakond
634,Val Rajasaar,130,96,0,#N/A,4,Elurikkuse Erakond
898,Pille Tsopp-Pagan,130,80,0,#N/A,10,Erakond Eesti 200
598,Tatjana Jaanson,130,60,1,#N/A,12,Sotsiaaldemokraatlik Erakond
250,Taavi Toppi,129,101,0,#N/A,2,Eesti Reformierakond
429,Hannes Puu,129,48,2,#N/A,8,Erakond Eestimaa Rohelised
972,Hans Liibek,126,63,0,#N/A,4,Eesti Keskerakond
666,Ülle Kauksi,126,49,0,#N/A,11,Elurikkuse Erakond
502,Jaak Allik,124,62,1,#N/A,2,Sotsiaaldemokraatlik Erakond
517,Pille Petersoo,123,77,0,#N/A,4,Sotsiaaldemokraatlik Erakond
679,Ants Miller,122,59,0,#N/A,1,Eesti Konservatiivne Rahvaerakond
1068,Imre Rammul,122,75,0,#N/A,1,Isamaa Erakond
140,Tiia Välk,122,51,0,#N/A,4,Eesti Vabaerakond
758,Tarmo Hints,122,35,4,#N/A,8,Eesti Konservatiivne Rahvaerakond
1079,Toivo Jürgenson,121,69,1,#N/A,2,Isamaa Erakond
741,Aigar Põder,121,47,3,#N/A,6,Eesti Konservatiivne Rahvaerakond
803,Karin Kaup-Lapõnin,120,85,1,#N/A,1,Erakond Eesti 200
1136,Arno Strauch,119,42,0,#N/A,7,Isamaa Erakond
751,Mari-Liis Lillemets,118,48,1,#N/A,7,Eesti Konservatiivne Rahvaerakond
909,Merlis Pajustik,118,62,0,#N/A,11,Erakond Eesti 200
716,Marek Leinemann,117,69,0,#N/A,4,Eesti Konservatiivne Rahvaerakond
198,Vahur Kollom,117,65,0,#N/A,10,Eesti Vabaerakond
641,Lauri Klein,116,73,0,#N/A,6,Elurikkuse Erakond
890,Maarika Kukk,116,61,1,#N/A,9,Erakond Eesti 200
920,Mati Tiimus,116,58,0,#N/A,12,Erakond Eesti 200
889,Margus Pärsik,115,48,0,#N/A,9,Erakond Eesti 200
144,Tiiu Kuurme,114,57,0,#N/A,4,Eesti Vabaerakond
525,Madis Roodla,114,74,0,#N/A,4,Sotsiaaldemokraatlik Erakond
624,Heli Piisang,114,63,0,#N/A,4,Elurikkuse Erakond
894,Ronald Laarmaa,114,82,0,#N/A,9,Erakond Eesti 200
808,Valeri Ivanov,113,52,0,#N/A,1,Erakond Eesti 200
1050,Andrei Orponen,113,32,0,#N/A,2,Eestimaa Ühendatud Vasakpartei
878,Angelika Naris,113,58,2,#N/A,8,Erakond Eesti 200
1190,Hannes Veskimäe,112,63,0,#N/A,1,Üksikkandidaadid
1194,Üllar Kruustik,112,47,0,#N/A,11,Üksikkandidaadid
497,Kristel Rannaääre,111,84,0,#N/A,2,Sotsiaaldemokraatlik Erakond
692,Karine Siiak,110,49,1,#N/A,2,Eesti Konservatiivne Rahvaerakond
1107,Priit Põldmäe,110,54,0,#N/A,4,Isamaa Erakond
1093,Urmas Mardi,109,62,0,#N/A,3,Isamaa Erakond
985,Üllar Neemrand,109,27,0,#N/A,5,Eesti Keskerakond
448,Rea Sepping,109,65,0,#N/A,10,Erakond Eestimaa Rohelised
1096,Indrek Luberg,108,61,1,#N/A,3,Isamaa Erakond
1187,Risto Nahkor,108,36,0,#N/A,4,Üksikkandidaadid
550,Sergei Solovjov,107,36,1,#N/A,7,Sotsiaaldemokraatlik Erakond
747,Evelin Poolamets,107,31,1,#N/A,7,Eesti Konservatiivne Rahvaerakond
677,Karl Olaf Rääk,106,55,0,#N/A,1,Eesti Konservatiivne Rahvaerakond
825,Erik Vest,106,62,0,#N/A,2,Erakond Eesti 200
1082,Illimar Leppik Von Wirén,106,59,4,#N/A,2,Isamaa Erakond
840,Terje Bachmann,106,67,0,#N/A,4,Erakond Eesti 200
413,Andres Jaadla,106,41,0,#N/A,6,Erakond Eestimaa Rohelised
206,Mart Kivastik,106,52,0,#N/A,10,Eesti Vabaerakond
899,Jüri-Ott Salm,106,64,0,#N/A,10,Erakond Eesti 200
1044,Ardo Aasa,106,32,0,#N/A,12,Eesti Keskerakond
759,Ando Tulvik,105,51,0,#N/A,8,Eesti Konservatiivne Rahvaerakond
233,Andres Aro,104,63,0,#N/A,1,Eesti Reformierakond
807,Ivar Soone,104,70,0,#N/A,1,Erakond Eesti 200
724,Ranno Pool,104,41,2,#N/A,4,Eesti Konservatiivne Rahvaerakond
683,Külli Remsu,103,42,0,#N/A,1,Eesti Konservatiivne Rahvaerakond
704,Mart Kallas,102,37,0,#N/A,3,Eesti Konservatiivne Rahvaerakond
1045,Ants Lopsik,102,19,0,#N/A,12,Eesti Keskerakond
234,Gerol Silkin,101,70,0,#N/A,1,Eesti Reformierakond
482,Maris Sild,101,73,0,#N/A,1,Sotsiaaldemokraatlik Erakond
681,Riho Rausma,101,48,0,#N/A,1,Eesti Konservatiivne Rahvaerakond
278,Marko Raudlam,101,37,0,#N/A,4,Eesti Reformierakond
519,Merike Metstak,101,46,1,#N/A,4,Sotsiaaldemokraatlik Erakond
180,Arlet Palmiste,101,53,1,#N/A,8,Eesti Vabaerakond
650,Ülle Kuldkepp,101,43,0,#N/A,8,Elurikkuse Erakond
405,Rasmus Lahtvee,100,49,3,#N/A,5,Erakond Eestimaa Rohelised
451,Inga Ploomipuu,100,61,0,#N/A,10,Erakond Eestimaa Rohelised
600,Jaan Krinal,100,45,0,#N/A,12,Sotsiaaldemokraatlik Erakond
1065,Karl Sander Kase,99,66,0,#N/A,1,Isamaa Erakond
260,Toomas Kärk,99,70,0,#N/A,3,Eesti Reformierakond
480,Erika Scholler,98,47,0,#N/A,1,Sotsiaaldemokraatlik Erakond
549,Tatjana Olesk,98,31,0,#N/A,7,Sotsiaaldemokraatlik Erakond
768,Kristian Suve,98,32,0,#N/A,9,Eesti Konservatiivne Rahvaerakond
578,Asko Tamme,98,56,0,#N/A,10,Sotsiaaldemokraatlik Erakond
1090,Kristian Taska,97,58,0,#N/A,3,Isamaa Erakond
432,Heli Kuuse,97,56,1,#N/A,8,Erakond Eestimaa Rohelised
881,Raul Alliksaar,97,48,0,#N/A,8,Erakond Eesti 200
885,Krister Kallas,97,53,0,#N/A,8,Erakond Eesti 200
1046,Andres Annast,97,30,0,#N/A,12,Eesti Keskerakond
453,Raul Kübarsepp,96,63,0,#N/A,10,Erakond Eestimaa Rohelised
810,Ahti Kallaste,95,64,0,#N/A,1,Erakond Eesti 200
644,Kaja Toikka,95,36,1,#N/A,7,Elurikkuse Erakond
829,Siiri Lehtmets,94,47,1,#N/A,3,Erakond Eesti 200
522,Ott Valdma,94,42,0,#N/A,4,Sotsiaaldemokraatlik Erakond
852,Jaak Raie,94,66,0,#N/A,4,Erakond Eesti 200
750,Ringo Riives,94,43,0,#N/A,7,Eesti Konservatiivne Rahvaerakond
830,Tiit Papp,92,49,0,#N/A,3,Erakond Eesti 200
611,Helen Orav-Kotta,91,55,0,#N/A,2,Elurikkuse Erakond
534,Kaido Sipelgas,91,54,1,#N/A,5,Sotsiaaldemokraatlik Erakond
864,Madis Viise,91,44,0,#N/A,6,Erakond Eesti 200
299,Merike Peri,91,40,0,#N/A,7,Eesti Reformierakond
871,Svetlana Skrebneva,91,30,0,#N/A,7,Erakond Eesti 200
569,Mati Kepp,91,44,0,#N/A,9,Sotsiaaldemokraatlik Erakond
1120,Tiit Harjak,90,55,0,#N/A,5,Isamaa Erakond
1186,Jüri Malsub,90,38,0,#N/A,8,Üksikkandidaadid
1155,Heldur Lääne,90,38,0,#N/A,9,Isamaa Erakond
911,Mikk Mäesaar,90,23,1,#N/A,11,Erakond Eesti 200
395,Katrin Lehtveer,89,58,0,#N/A,4,Erakond Eestimaa Rohelised
967,Kersti Männik,89,33,0,#N/A,4,Eesti Keskerakond
157,Elge Härma,89,39,0,#N/A,5,Eesti Vabaerakond
860,Keith Siilats,89,56,0,#N/A,5,Erakond Eesti 200
880,Marju Mäger,89,54,0,#N/A,8,Erakond Eesti 200
450,Jüri Ginter,88,42,0,#N/A,10,Erakond Eestimaa Rohelised
621,Ott Köstner,87,46,1,#N/A,3,Elurikkuse Erakond
163,Pavo Raudsepp,87,31,0,#N/A,6,Eesti Vabaerakond
901,Ismail Mirzojev,87,52,0,#N/A,10,Erakond Eesti 200
975,Indrek Uuemaa,86,19,0,#N/A,4,Eesti Keskerakond
552,Pavel Prokopenko,86,38,0,#N/A,7,Sotsiaaldemokraatlik Erakond
599,Anet Tomašpolskaja,86,61,0,#N/A,12,Sotsiaaldemokraatlik Erakond
855,Jaanika Roosman,85,40,0,#N/A,5,Erakond Eesti 200
579,Ants Johanson,85,53,0,#N/A,10,Sotsiaaldemokraatlik Erakond
661,Eda Veeroja,85,50,0,#N/A,11,Elurikkuse Erakond
